k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;6629;S;0;18453;18453;3645.23;29.1654;100;1.35702e+06;1.19704e+06;0;6.55914;2.58561e+07
2;4367;S;0;198478;198478;2760.65;42.4992;100;1.16849e+07;1.79173e+07;0;98.1769;3.87013e+08
3;14186;S;0;27195;27195;2702.06;96.0471;100;196276;1.64346e+06;0;9.00525;3.54987e+07
4;33472;S;0;155209;155209;2760.65;54.4495;100;7.49659e+06;1.11231e+07;0;60.9484;2.40259e+08
5;42770;S;0;32175;32175;4612.12;100;100;53322.7;2.11151e+06;0;11.5699;4.56086e+07
6;13663;S;0;26120;26120;4612.12;14.0163;100;2.38333e+06;157892;0;0.865164;3.41048e+06
7;35734;S;0;15259;15259;3645.23;11.3495;100;1.38199e+06;1.10916e+06;0;6.07761;2.3958e+07
8;37126;S;0;20685;20685;3339.3;1.16575;100;2.072e+06;1.37058e+06;0;7.51005;2.96046e+07
9;37184;S;0;31288;31288;4444.44;1.3122;100;3.17931e+06;1.72393e+06;0;9.44621;3.7237e+07
10;8078;S;0;29518;29518;4444.44;3.87377;100;2.97889e+06;2.12212e+06;0;11.628;4.58377e+07
11;43297;S;0;33333;33333;2702.06;26.3919;100;2.48369e+06;97043.3;0;0.531744;2.09613e+06
12;196;S;0;464439;464439;2965.43;21.2054;100;3.7903e+07;2.65012e+07;1;146.212;5.72426e+08
13;1581;S;0;458465;458465;3055.31;11.2089;100;4.1726e+07;2.11012e+07;1;116.623;4.55786e+08
14;47688;S;0;228987;228987;2256.8;34.2632;100;1.558e+07;2.09856e+07;1;115.989;4.53288e+08
15;29986;S;0;282870;282870;1814.66;15.2628;100;2.44018e+07;2.06987e+07;1;114.418;4.47092e+08
16;51857;S;0;170236;170236;3432.46;41.2424;100;1.07131e+07;1.78188e+07;1;98.6375;3.84887e+08
17;16176;S;0;161355;161355;3476.79;34.9044;100;1.11538e+07;1.59537e+07;1;88.4173;3.44599e+08
18;31557;S;0;156185;156185;5000;19.2339;100;1.33166e+07;1.45958e+07;1;80.9772;3.1527e+08
19;18479;S;0;199727;199727;2256.8;50.7855;100;9.95913e+06;1.44294e+07;1;80.065;3.11674e+08
20;12549;S;0;160613;160613;4136.67;34.5559;100;1.09798e+07;1.29908e+07;1;72.1826;2.80602e+08
21;22240;S;0;148992;148992;5000;37.595;100;9.88478e+06;1.26041e+07;1;70.0634;2.72248e+08
22;42045;S;0;130014;130014;4898.74;21.4257;100;1.0933e+07;1.2422e+07;1;69.0659;2.68316e+08
23;3038;S;0;152139;152139;1837.1;25.213;100;1.19199e+07;1.16538e+07;1;64.8566;2.51723e+08
24;45312;S;0;182891;182891;3913.13;32.0036;100;1.30082e+07;1.15987e+07;1;64.5547;2.50533e+08
25;23215;S;0;148031;148031;4831.75;36.9241;100;1.01748e+07;1.13447e+07;1;63.163;2.45046e+08
26;23042;S;0;136469;136469;3564.6;30.8086;100;9.85924e+06;1.122e+07;1;62.4794;2.42352e+08
27;44695;S;0;127848;127848;3822.4;16.09;100;1.11451e+07;1.09519e+07;1;61.0105;2.36561e+08
28;34672;S;0;181560;181560;3305.1;28.2134;100;1.33654e+07;1.07688e+07;1;60.0071;2.32606e+08
29;34569;S;0;145042;145042;1011.93;24.9844;100;1.12196e+07;1.05808e+07;1;58.9772;2.28546e+08
