k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;4367;S;0;198478;198478;2760.65;254.633;296.894;8.66016e+06;2.24485e+07;0;123.006;4.84888e+08
2;33472;S;0;155209;155209;2760.65;186.862;279.797;1.48511e+07;1.43998e+07;0;78.9029;3.11035e+08
3;37184;S;0;31288;31288;4444.44;189.572;262.409;2.37049e+06;1.84468e+06;0;10.1078;3.9845e+07
4;42770;S;0;32175;32175;4612.12;291.981;299.998;311274;2.43622e+06;0;13.3491;5.26223e+07
5;14186;S;0;27195;27195;2702.06;277.084;293.606;538086;2.11142e+06;0;11.5694;4.56066e+07
6;37126;S;0;20685;20685;3339.3;17.4995;159.027;2.95512e+06;1.48297e+06;0;8.12589;3.20322e+07
7;8078;S;0;29518;29518;4444.44;122.838;241.667;3.64903e+06;2.75329e+06;0;15.0865;5.94712e+07
8;35734;S;0;15259;15259;3645.23;190.807;275.147;1.31622e+06;1.1053e+06;0;6.05641;2.38744e+07
9;43297;S;0;33333;33333;2702.06;231.688;290.914;2.00428e+06;445185;0;2.43937;9.61599e+06
10;6629;S;0;18453;18453;3645.23;112.302;235.067;2.3153e+06;1.40603e+06;0;7.70427;3.03702e+07
11;13663;S;0;26120;26120;4612.12;200.718;288.488;2.43e+06;1.23748e+06;0;6.7807;2.67295e+07
12;196;S;0;464439;464439;2965.43;296.205;300;3.07009e+06;3.47947e+07;1;191.656;7.51565e+08
13;29986;S;0;282870;282870;1814.66;281.235;297.962;5.16378e+06;2.66897e+07;1;147.245;5.76498e+08
14;1581;S;0;458465;458465;3055.31;267.228;289.589;1.12701e+07;2.64057e+07;1;145.689;5.70364e+08
15;47688;S;0;228987;228987;2256.8;258.779;294.502;8.70725e+06;2.5186e+07;1;139.005;5.44017e+08
16;15033;S;0;379330;379330;2590.98;282.457;298.732;7.59804e+06;2.24348e+07;1;123.931;4.84593e+08
17;23212;S;0;148031;148031;2182.96;256.926;295.941;6.05773e+06;2.20921e+07;1;122.053;4.77189e+08
18;16176;S;0;161355;161355;3476.79;179.275;278.263;1.66224e+07;2.10166e+07;1;116.159;4.53958e+08
19;2331;S;0;156185;156185;1566.97;241.103;289.92;7.88288e+06;1.95488e+07;1;108.117;4.22253e+08
20;18479;S;0;199727;199727;2256.8;240.403;291.484;1.0332e+07;1.83724e+07;1;101.671;3.96845e+08
21;312;S;76582;0;76582;3624.47;0;296.004;2.29746e+07;1.5934e+07;1;88.3096;3.44175e+08
22;5560;S;0;145042;145042;3305.1;231.857;292.78;9.27385e+06;1.5547e+07;1;86.1891;3.35815e+08
23;359;S;94988;0;94988;5000;0;297.117;2.84964e+07;1.54539e+07;1;85.679;3.33805e+08
24;22752;S;0;168610;168610;3432.46;194.421;287.734;1.62629e+07;1.53472e+07;1;85.0945;3.315e+08
25;12523;S;0;157697;157697;2254.28;240.831;291.143;8.20645e+06;1.51829e+07;1;84.194;3.27951e+08
26;51366;S;0;153534;153534;1492.77;222.892;293.692;1.09798e+07;1.3388e+07;1;74.3587;2.8918e+08
27;44695;S;0;127848;127848;3822.4;155.781;249.628;1.24155e+07;1.31674e+07;1;73.1501;2.84416e+08
28;3038;S;0;152139;152139;1837.1;221.63;298.44;1.22276e+07;1.31627e+07;1;73.1241;2.84313e+08
29;143;S;188273;0;188273;2704.76;0;298.47;5.64819e+07;1.26147e+07;1;70.1215;2.72477e+08
30;23042;S;0;136469;136469;3564.6;196.576;267.723;1.01261e+07;1.23498e+07;1;68.6702;2.66756e+08
31;296;S;101239;0;101239;2735.93;0;298.75;3.03717e+07;1.22013e+07;1;67.8563;2.63547e+08
32;45312;S;0;182891;182891;3913.13;240.26;291.694;9.97904e+06;1.16846e+07;1;65.0253;2.52388e+08
33;7260;S;0;95831;95831;5000;188.395;286.2;9.81618e+06;1.13516e+07;1;63.2007;2.45195e+08
34;41664;S;0;135934;135934;4136.67;186.573;283.603;1.36688e+07;1.1246e+07;1;62.6219;2.42913e+08
35;34672;S;0;181560;181560;3305.1;211.202;287.589;1.42006e+07;1.07422e+07;1;59.8616;2.32033e+08
36;51857;S;0;170236;170236;3432.46;231.569;296.61;1.17828e+07;1.06219e+07;1;59.2019;2.29432e+08
37;22240;S;0;148992;148992;5000;167.377;273.629;1.64177e+07;1.04207e+07;1;58.0999;2.25088e+08
38;153;S;68400;0;68400;5000;0;296.006;2.052e+07;1.0082e+07;1;56.2439;2.17771e+08
39;17429;S;0;112794;112794;720.069;242.119;285.215;4.95218e+06;9.76532e+06;1;54.5086;2.10931e+08
40;4536;S;0;151351;151351;905.678;280.145;296.959;2.67366e+06;9.42679e+06;1;52.6537;2.03619e+08
41;140;S;164058;0;164058;2618.19;0;298.689;4.92174e+07;9.31778e+06;1;52.0564;2.01264e+08
42;206;S;99689;0;99689;5000;0;294.509;2.99067e+07;9.14442e+06;1;51.1064;1.97519e+08
43;378;S;66240;0;66240;5000;0;294.72;1.9872e+07;9.08684e+06;1;50.7909;1.96276e+08
44;214;S;51678;0;51678;4293.31;0;294.385;1.55034e+07;8.81417e+06;1;49.2968;1.90386e+08
45;2641;S;0;141008;141008;3765.05;231.395;283.15;7.66868e+06;8.30508e+06;1;46.5073;1.7939e+08
46;50283;S;0;73469;73469;2963.16;184.529;267.756;6.27102e+06;8.23591e+06;1;46.1283;1.77896e+08
47;1934;S;0;137093;137093;4742.04;0;145.348;2.0564e+07;7.99823e+06;1;44.8259;1.72762e+08
48;32109;S;0;152716;152716;3436.07;254.806;296.074;6.77545e+06;7.79e+06;1;43.6849;1.68264e+08
49;54637;S;0;116653;116653;4326.74;194.899;267.813;8.85993e+06;7.62343e+06;1;42.7722;1.64666e+08
50;34888;S;0;76124;76124;5000;248.712;293.716;3.79225e+06;7.5634e+06;1;42.4433;1.63369e+08
51;15353;S;0;87008;87008;5000;287.606;299.729;1.72458e+06;7.50334e+06;1;42.1142;1.62072e+08
52;40938;S;0;83893;83893;2020.64;63.3961;191.322;1.08746e+07;7.13933e+06;1;40.1196;1.5421e+08
53;18193;S;0;125017;125017;4707.67;216.801;292.779;1.00999e+07;7.12229e+06;1;40.0262;1.53841e+08
54;47919;S;0;110700;110700;3630.78;221.842;289.123;7.72412e+06;6.81103e+06;1;38.3207;1.47118e+08
55;35828;S;0;92138;92138;4724.14;203.539;286.216;7.90767e+06;6.70758e+06;1;37.7539;1.44884e+08
56;151;S;78223;0;78223;1301.38;0;298.866;2.34669e+07;6.28572e+06;1;35.4423;1.35772e+08
57;2651;S;0;140588;140588;3765.05;242.783;294.325;7.62134e+06;6.10505e+06;1;34.4523;1.31869e+08
58;83;S;56923;0;56923;3314.03;0;297.377;1.70769e+07;6.10296e+06;1;34.4409;1.31824e+08
59;18803;S;0;99093;99093;3630.78;208.992;283.649;7.64955e+06;5.85164e+06;1;33.0638;1.26395e+08
60;15061;S;0;153976;153976;830.06;293.651;299.431;986157;5.81791e+06;1;32.8789;1.25667e+08
61;24129;S;0;96950;96950;4259.91;196.128;280.893;8.6317e+06;5.62107e+06;1;31.8004;1.21415e+08
62;43203;S;0;82567;82567;3029.29;217.23;288.622;6.19251e+06;5.58009e+06;1;31.5758;1.2053e+08
63;47120;S;0;69515;69515;4349.29;202.901;268.239;4.80135e+06;5.56418e+06;1;31.4886;1.20186e+08
64;30251;S;0;290434;290434;4020.75;286.706;296.45;3.47843e+06;5.51206e+06;1;31.203;1.1906e+08
65;292;S;26741;0;26741;5000;0;300;8.00547e+06;5.34633e+06;1;30.295;1.15481e+08
66;5456;S;0;86392;86392;4616.43;252.523;294.202;3.91146e+06;5.12418e+06;1;29.0777;1.10682e+08
67;35990;S;0;104537;104537;957.807;233.402;292.132;6.14998e+06;5.04694e+06;1;28.6544;1.09014e+08
68;21739;S;0;151452;151452;5000;242.856;297.073;8.97032e+06;5.01833e+06;1;28.4977;1.08396e+08
69;48552;S;0;106170;106170;4677.87;255.287;292.956;4.29929e+06;4.91347e+06;1;27.9231;1.06131e+08
70;69;S;96977;0;96977;2410.81;0;298.691;2.90931e+07;4.90067e+06;1;27.853;1.05855e+08
71;15211;S;0;289622;289622;4346.13;127.145;230.074;3.04361e+07;4.86137e+06;1;27.6376;1.05006e+08
72;19373;S;0;85755;85755;3396.36;147.776;260.76;9.67839e+06;4.82162e+06;1;27.4199;1.04147e+08
73;275;S;0;50909;50909;1505.2;0;152;7.63635e+06;4.76781e+06;1;27.125;1.02985e+08
74;23785;S;0;40396;40396;4941.62;139.22;268.131;5.52505e+06;4.65817e+06;1;26.5242;1.00616e+08
75;57458;S;0;38229;38229;3276.66;246.729;297.676;2.01804e+06;4.53076e+06;1;25.8261;9.78645e+07
76;111;S;39742;0;39742;3532.78;0;299.143;1.19226e+07;4.47729e+06;1;25.5331;9.67095e+07
77;9342;S;0;75760;75760;2748.4;0;147.425;1.1364e+07;4.4654e+06;1;25.468;9.64527e+07
78;31202;S;0;178262;178262;3920.46;266.612;297.767;6.04842e+06;4.44227e+06;1;25.3412;9.59531e+07
79;3626;S;0;88133;88133;3161.02;181.153;259.938;7.18202e+06;4.40032e+06;1;25.1113;9.50468e+07
80;36151;S;0;70703;70703;1585.66;158.417;276.718;8.40353e+06;4.35622e+06;1;24.8697;9.40944e+07
81;47505;S;0;36399;36399;4158.52;136.925;245.236;4.02185e+06;4.23056e+06;1;24.1812;9.13802e+07
82;20744;S;0;50491;50491;2055.54;127.114;225.169;5.05572e+06;4.19453e+06;1;23.9837;9.06019e+07
83;3446;S;0;54460;54460;4543.58;275.84;299.553;1.52878e+06;4.17702e+06;1;23.8878;9.02236e+07
84;35232;S;0;55459;55459;3482.13;252.528;293.472;2.37708e+06;4.17527e+06;1;23.8782;9.01858e+07
85;156;S;40554;0;40554;5000;0;296.116;1.21662e+07;4.15393e+06;1;23.7612;8.97248e+07
86;15636;S;0;143738;143738;4547.84;188.934;267.871;1.18875e+07;4.14171e+06;1;23.6943;8.9461e+07
87;55628;S;0;87683;87683;4532.6;160.056;277.062;1.0629e+07;4.1249e+06;1;23.6022;8.90978e+07
88;307;S;76508;0;76508;5000;0;299.311;2.29524e+07;4.1227e+06;1;23.5901;8.90503e+07
89;48495;S;0;88090;88090;3396.36;252.256;297.63;4.46705e+06;4.07363e+06;1;23.3213;8.79904e+07
90;26528;S;0;62120;62120;2985.76;237.812;296.89;3.87205e+06;4.01288e+06;1;22.9884;8.66782e+07
91;35901;S;0;74051;74051;1658.38;235.811;289.826;4.07384e+06;3.96221e+06;1;22.7107;8.55836e+07
92;36951;S;0;49619;49619;4318.1;69.5054;206.562;6.94777e+06;3.91793e+06;1;22.4681;8.46272e+07
93;32729;S;0;72379;72379;3347.72;150.969;243.534;6.87142e+06;3.81017e+06;1;21.8776;8.22997e+07
94;233;S;20962;0;20962;3629.33;0;300;6.26498e+06;3.76348e+06;1;21.6218;8.12912e+07
95;44324;S;0;139079;139079;2596.25;233.199;295.765;9.06258e+06;3.72523e+06;1;21.4122;8.0465e+07
96;7875;S;0;39829;39829;4041.45;88.1369;223.462;5.52689e+06;3.71524e+06;1;21.3575;8.02491e+07
97;136;S;52070;0;52070;3341.27;0;297.682;1.5621e+07;3.67054e+06;1;21.1125;7.92836e+07
98;22665;S;0;59768;59768;2488.38;135.618;231.232;5.75747e+06;3.65267e+06;1;21.0146;7.88976e+07
99;324;S;18898;0;18898;5000;0;289.949;5.6694e+06;3.64732e+06;1;20.9853;7.87821e+07
100;14122;S;0;98747;98747;3691.77;235.515;289.744;5.59848e+06;3.51066e+06;1;20.2365;7.58303e+07
101;248;S;45023;0;45023;3396.48;0;298.259;1.35069e+07;3.50336e+06;1;20.1965;7.56726e+07
102;5996;S;0;57716;57716;4417.72;272.913;297.964;1.56076e+06;3.4935e+06;1;20.1424;7.54595e+07
103;26533;S;0;29246;29246;4720.38;142.524;288.837;4.3869e+06;3.49153e+06;1;20.1317;7.5417e+07
104;42933;S;0;98273;98273;1277.66;181.394;278.219;9.57197e+06;3.44414e+06;1;19.872;7.43933e+07
105;30322;S;0;271848;271848;2602.21;267.235;290.177;6.9139e+06;3.36797e+06;1;19.4546;7.27482e+07
106;6385;S;0;38230;38230;5000;210.572;292.187;3.23221e+06;3.22284e+06;1;18.6594;6.96134e+07
107;52146;S;0;128592;128592;2212.78;207.023;276.179;9.15764e+06;3.21635e+06;1;18.6239;6.94732e+07
108;50496;S;0;48622;48622;4120.75;196.295;279.206;4.26659e+06;3.13974e+06;1;18.204;6.78183e+07
