k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;8078;S;0;29518;29518;4444.44;7.20411;152.413;4.4277e+06;2.83929e+06;0;15.5578;6.13287e+07
2;33472;S;0;155209;155209;2760.65;24.0136;168.489;2.28506e+07;1.43998e+07;0;78.9029;3.11035e+08
3;4367;S;0;198478;198478;2760.65;19.9159;168.544;2.97717e+07;2.24485e+07;0;123.006;4.84888e+08
4;42770;S;0;32175;32175;4612.12;149.115;297.457;4.82625e+06;2.43622e+06;0;13.3491;5.26223e+07
5;35734;S;0;15259;15259;3645.23;5.40537;152.873;2.27949e+06;1.1053e+06;0;6.05641;2.38744e+07
6;37184;S;0;31288;31288;4444.44;6.58313;153.657;4.6932e+06;1.84468e+06;0;10.1078;3.9845e+07
7;6629;S;0;18453;18453;3645.23;0;147.295;2.76795e+06;1.40603e+06;0;7.70427;3.03702e+07
8;43297;S;0;33333;33333;2702.06;0;149.097;4.99995e+06;445185;0;2.43937;9.61599e+06
9;14186;S;0;27195;27195;2702.06;143.901;286.091;3.95565e+06;2.11142e+06;0;11.5694;4.56066e+07
10;13663;S;0;26120;26120;4612.12;5.18503;149.823;3.91538e+06;1.23748e+06;0;6.7807;2.67295e+07
11;37126;S;0;20685;20685;3339.3;0.00858879;148.674;3.10275e+06;1.39697e+06;0;7.65466;3.01747e+07
12;196;S;0;464439;464439;2965.43;21.2054;168.39;6.96658e+07;3.47947e+07;1;191.656;7.51565e+08
13;29986;S;0;282870;282870;1814.66;2.58359;151.005;4.24161e+07;2.66897e+07;1;147.245;5.76498e+08
14;1581;S;0;458465;458465;3055.31;11.2702;158.499;6.85175e+07;2.64057e+07;1;145.689;5.70364e+08
15;47688;S;0;228987;228987;2256.8;13.2749;160.503;3.42404e+07;2.5186e+07;1;139.005;5.44017e+08
16;15033;S;0;379330;379330;2590.98;123.882;259.678;5.29357e+07;2.24348e+07;1;123.931;4.84593e+08
17;23212;S;0;148031;148031;2182.96;24.5426;169.531;2.1745e+07;2.20921e+07;1;122.053;4.77189e+08
18;16176;S;0;161355;161355;3476.79;16.829;162.746;2.41948e+07;2.10166e+07;1;116.159;4.53958e+08
19;2331;S;0;156185;156185;1566.97;45.1696;193.474;2.34213e+07;1.95488e+07;1;108.117;4.22253e+08
20;18479;S;0;199727;199727;2256.8;21.2668;168.373;2.95108e+07;1.83724e+07;1;101.671;3.96845e+08
21;312;S;76582;0;76582;3624.47;0;296.004;2.29746e+07;1.5934e+07;1;88.3096;3.44175e+08
22;5560;S;0;145042;145042;3305.1;27.9999;171.416;2.12387e+07;1.5547e+07;1;86.1891;3.35815e+08
23;359;S;94988;0;94988;5000;0;297.117;2.84964e+07;1.54539e+07;1;85.679;3.33805e+08
24;22752;S;0;168610;168610;3432.46;18.4458;161.882;2.47142e+07;1.53472e+07;1;85.0945;3.315e+08
25;12523;S;0;157697;157697;2254.28;44.5941;174.434;2.07477e+07;1.51829e+07;1;84.194;3.27951e+08
26;51366;S;0;153534;153534;1492.77;68.239;207.547;2.14981e+07;1.3388e+07;1;74.3587;2.8918e+08
27;44695;S;0;127848;127848;3822.4;15.6866;156.288;1.8393e+07;1.31674e+07;1;73.1501;2.84416e+08
28;3038;S;0;152139;152139;1837.1;27.3849;171.436;2.24576e+07;1.31627e+07;1;73.1241;2.84313e+08
29;143;S;188273;0;188273;2704.76;0;298.47;5.64819e+07;1.26147e+07;1;70.1215;2.72477e+08
30;23042;S;0;136469;136469;3564.6;39.8271;182.411;1.98751e+07;1.23498e+07;1;68.6702;2.66756e+08
31;30685;E;0;661155;661155;297.321;16.0747;17.4743;982878;981269;2;7.94643;2.11954e+07
32;30360;E;0;520237;520237;2319.92;3.95175;13.221;6.03453e+06;5.19219e+06;3;49.3983;1.12151e+08
33;18;E;1120849;0;1120849;166.433;0;0.529574;932732;529216;3;6.32866;1.14311e+07
34;1316;E;0;695614;695614;806.598;10.6194;14.2999;2.8054e+06;1.46494e+06;2;18.132;3.16428e+07
35;30438;E;0;675481;675481;282.843;17.0223;18.0622;955274;573740;2;7.65685;1.23928e+07
36;30336;E;0;307831;307831;1475.96;16.0493;22.8054;2.27173e+06;1.96044e+06;3;32.5192;4.23456e+07
37;15006;E;0;449425;449425;2590.98;22.4744;34.2616;5.82226e+06;3.17621e+06;1;52.8196;6.86062e+07
38;1263;E;0;637190;637190;1474.72;0.634556;7.19564;4.69839e+06;1.93046e+06;3;32.4945;4.16979e+07
39;30421;E;0;760208;760208;806.598;16.0491;19.6238;3.06591e+06;961011;2;18.132;2.07578e+07
40;195;E;464439;0;464439;5000;0;21.2054;1.1611e+07;4.75599e+06;2;102;1.02729e+08
41;939;E;0;183118;183118;2703.99;0;12.019;2.47574e+06;2.37444e+06;1;55.0798;5.1288e+07
42;30184;E;0;248743;248743;2166.89;39.6151;49.6592;2.69499e+06;1.84327e+06;2;45.3377;3.98146e+07
43;140;E;164058;0;164058;2618.19;0;11.7801;2.14767e+06;2.13799e+06;1;53.3637;4.61805e+07
44;44943;E;0;158718;158718;3232.7;7.43749;21.5591;2.56544e+06;2.56868e+06;1;65.654;5.54834e+07
45;29740;E;0;188608;188608;2047.58;0.154237;9.15629;1.93095e+06;1.63642e+06;2;42.9516;3.53466e+07
46;1099;E;0;230257;230257;810.247;7.65592;11.0606;932825;711962;3;19.2049;1.53784e+07
47;22263;E;0;176908;176908;4773.86;40.5095;59.1381;4.22267e+06;3.61382e+06;3;98.4771;7.80585e+07
48;45281;E;0;186227;186227;3476.79;45.9322;61.6703;3.23737e+06;2.56864e+06;1;70.5359;5.54827e+07
49;1276;E;0;637190;637190;570.894;7.19564;9.68844;1.81884e+06;482470;2;13.4179;1.04214e+07
50;44166;E;0;177510;177510;830.06;5.17635;8.87714;736720;622166;1;17.6012;1.34388e+07
51;33608;E;0;205816;205816;2419.01;25.2169;35.5082;2.48935e+06;1.67212e+06;1;49.3802;3.61179e+07
52;4536;E;0;151351;151351;905.678;2.12839;5.80494;685377;644401;1;19.1136;1.39191e+07
53;2651;E;0;140588;140588;3765.05;15.5588;31.7157;2.6466e+06;2.55419e+06;1;76.301;5.51704e+07
54;881;E;0;254258;254258;1814.66;37.2887;45.0267;2.30696e+06;1.23796e+06;1;37.2933;2.67398e+07
55;41233;E;0;123185;123185;2199.95;14.4889;24.2384;1.35501e+06;1.51286e+06;2;45.999;3.26777e+07
56;11105;E;0;116437;116437;3295.17;0;16.6374;1.9184e+06;2.12379e+06;1;66.9033;4.58739e+07
57;45277;E;0;187757;187757;1955.1;59.6491;68.4132;1.83541e+06;1.29107e+06;2;41.1019;2.78872e+07
58;38;E;139926;0;139926;2715.88;0;12.221;1.90011e+06;1.7315e+06;1;55.3176;3.74003e+07
59;51539;E;0;186576;186576;4394.59;45.5428;64.2793;4.09962e+06;2.89493e+06;6;93.8917;6.25304e+07
60;44324;E;0;139079;139079;2596.25;5.33647;15.7226;1.80542e+06;1.60535e+06;1;52.9249;3.46756e+07
