k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;30685;E;0;661155;661155;297.321;0;1.39967;982878;1.07377e+06;2;7.94643;2.31934e+07
2;1316;E;0;695614;695614;806.598;14.6941;18.3746;2.8054e+06;2.11864e+06;2;18.132;4.57627e+07
3;30360;E;0;520237;520237;2319.92;1.04191;10.3111;6.03453e+06;5.5055e+06;3;49.3983;1.18919e+08
4;1263;E;0;637190;637190;1474.72;0.634556;7.19564;4.69839e+06;3.147e+06;3;32.4945;6.79751e+07
5;1276;E;0;637190;637190;570.894;7.19564;9.68844;1.81884e+06;1.40676e+06;2;13.4179;3.03859e+07
6;195;E;464439;0;464439;5000;0;21.2054;1.1611e+07;9.27682e+06;2;102;2.00379e+08
7;30438;E;0;675481;675481;282.843;1.31819;2.35812;955274;621663;2;7.65685;1.34279e+07
8;15006;E;0;449425;449425;2590.98;0;11.7871;5.82226e+06;3.83554e+06;1;52.8196;8.28477e+07
9;196;E;0;464439;464439;2965.43;21.2054;33.2168;6.88631e+06;4.249e+06;1;60.3086;9.17784e+07
10;44137;E;0;348969;348969;586.941;26.1497;28.7039;1.02412e+06;909237;1;12.7388;1.96395e+07
11;1581;E;0;458465;458465;3055.31;18.381;31.4363;7.00377e+06;4.23634e+06;1;62.1063;9.15049e+07
12;29874;E;0;259944;259944;4452.88;14.6769;33.6455;5.7875e+06;5.52658e+06;1;90.0576;1.19374e+08
13;18;E;1120849;0;1120849;166.433;0;0.529574;932732;384558;3;6.32866;8.30644e+06
14;30336;E;0;307831;307831;1475.96;11.1317;17.8878;2.27173e+06;2.02651e+06;3;32.5192;4.37726e+07
15;47688;E;0;228987;228987;2256.8;0.382937;9.36486;2.58389e+06;2.7026e+06;1;46.1361;5.83763e+07
16;47787;E;0;217261;217261;5000;13.521;35.4296;5.43153e+06;5.93999e+06;2;102;1.28304e+08
17;15033;E;0;379330;379330;2590.98;26.4065;35.6066;4.91418e+06;3.03483e+06;1;52.8196;6.55523e+07
18;29986;E;0;282870;282870;1814.66;28.3404;35.8859;2.56657e+06;2.12589e+06;1;37.2933;4.59193e+07
19;29990;E;0;267926;267926;3225.72;48.9603;62.9419;4.32128e+06;3.92149e+06;2;66.5145;8.47042e+07
20;30991;E;0;181914;181914;2833.19;0;13.4261;2.57699e+06;3.2812e+06;2;58.6638;7.08739e+07
21;30421;E;0;760208;760208;806.598;2.0953;5.66997;3.06591e+06;1.01052e+06;2;18.132;2.18273e+07
22;1333;E;0;614827;614827;282.843;18.4793;19.9999;869497;423633;2;7.65685;9.15046e+06
23;45281;E;0;186227;186227;3476.79;12.2838;28.0219;3.23737e+06;3.89834e+06;1;70.5359;8.42041e+07
24;18478;E;0;185046;185046;562.939;9.05523;11.6106;520848;737505;2;13.2588;1.59301e+07
25;51371;E;0;186576;186576;4242.36;20.7508;39.0421;3.95761e+06;4.87385e+06;4;88.8471;1.05275e+08
26;29983;E;0;270584;270584;3655.49;35.9114;50.7523;4.94558e+06;4.06509e+06;2;75.1098;8.7806e+07
27;33544;E;0;205816;205816;5000;19.4858;41.074;5.1454e+06;5.41826e+06;1;101;1.17034e+08
28;881;E;0;254258;254258;1814.66;0;7.73807;2.30696e+06;1.98046e+06;1;37.2933;4.2778e+07
29;18682;E;0;172925;172925;5000;0;20.4043;4.32313e+06;5.39172e+06;2;102;1.16461e+08
30;143;E;188273;0;188273;2704.76;0;11.9935;2.54616e+06;2.85804e+06;1;55.0951;6.17337e+07
31;18479;E;0;199727;199727;2256.8;4.85127;15.4861;2.25372e+06;2.37723e+06;1;46.1361;5.13482e+07
32;4367;E;0;198478;198478;2760.65;24.4348;36.8662;2.73964e+06;2.77459e+06;0;55.213;5.99312e+07
33;47667;E;0;197997;197997;2861.98;10.8511;23.9527;2.83332e+06;2.94667e+06;2;59.2396;6.3648e+07
34;1288;E;0;637190;637190;1852.15;9.68844;16.6191;5.90087e+06;1.91853e+06;3;40.0431;4.14402e+07
35;1580;E;0;601471;601471;297.321;19.6875;20.888;894151;614746;2;7.94643;1.32785e+07
36;51539;E;0;186576;186576;4394.59;2.01433;20.7508;4.09962e+06;4.47387e+06;6;93.8917;9.66355e+07
37;45277;E;0;187757;187757;1955.1;26.6851;35.4492;1.83541e+06;1.94254e+06;2;41.1019;4.19588e+07
38;4503;E;0;178812;178812;2419.01;1.06613;11.0903;2.16274e+06;2.30343e+06;1;49.3802;4.97541e+07
39;22265;E;0;176908;176908;4242.36;0.136304;17.4233;3.75253e+06;4.12171e+06;4;88.8471;8.90289e+07
40;30322;E;0;271848;271848;2602.21;4.13733;14.6575;3.53702e+06;2.41523e+06;1;53.0441;5.2169e+07
41;12776;E;0;155140;155140;3347.89;0;14.3725;2.59696e+06;3.08829e+06;1;67.9579;6.67071e+07
42;51294;E;0;191362;191362;1388.66;10.8029;16.9072;1.32868e+06;1.34888e+06;2;29.7731;2.91358e+07
43;4371;E;0;198478;198478;2471.52;36.8662;47.8859;2.45271e+06;2.27682e+06;1;50.4304;4.91793e+07
44;4239;E;0;136780;136780;5000;0;20.9648;3.4195e+06;4.56105e+06;2;102;9.85186e+07
45;33480;E;0;201733;201733;3053.74;47.1133;60.3833;3.0802e+06;2.8037e+06;2;63.0747;6.056e+07
46;45304;E;0;182891;182891;2048.83;3.65429;12.5078;1.87356e+06;1.89524e+06;2;42.9766;4.09373e+07
47;33571;E;0;205816;205816;4165.11;3.23849;19.4858;4.28623e+06;3.72651e+06;2;85.3022;8.04926e+07
48;10802;E;0;135197;135197;2915.28;2.94249;16.1269;1.97069e+06;2.67706e+06;3;61.3057;5.78246e+07
