k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;6629;S;0;18453;18453;3645.23;0;100;1.89521e+06;1.19704e+06;0;6.55914;2.58561e+07
2;4367;S;0;198478;198478;2760.65;7.48484;100;1.86345e+07;1.79173e+07;0;98.1769;3.87013e+08
3;14186;S;0;27195;27195;2702.06;96.0471;100;196276;1.64346e+06;0;9.00525;3.54987e+07
4;33472;S;0;155209;155209;2760.65;11.7217;100;1.41283e+07;1.11231e+07;0;60.9484;2.40259e+08
5;42770;S;0;32175;32175;4612.12;100;100;53322.7;2.11151e+06;0;11.5699;4.56086e+07
6;13663;S;0;26120;26120;4612.12;0.82838;100;2.72779e+06;157892;0;0.865164;3.41048e+06
7;35734;S;0;15259;15259;3645.23;0.0141525;100;1.55496e+06;1.10916e+06;0;6.07761;2.3958e+07
8;37126;S;0;20685;20685;3339.3;0;100;2.09611e+06;1.37058e+06;0;7.51005;2.96046e+07
9;37184;S;0;31288;31288;4444.44;0;100;3.22036e+06;1.72393e+06;0;9.44621;3.7237e+07
10;8078;S;0;29518;29518;4444.44;3.70843;100;2.98377e+06;2.12212e+06;0;11.628;4.58377e+07
11;43297;S;0;33333;33333;2702.06;0;100;3.36341e+06;97043.3;0;0.531744;2.09613e+06
12;196;S;0;464439;464439;2965.43;0;100;4.77516e+07;2.65012e+07;1;146.212;5.72426e+08
13;1581;S;0;458465;458465;3055.31;6.38056;100;4.39396e+07;2.11012e+07;1;116.623;4.55786e+08
14;47688;S;0;228987;228987;2256.8;2.22154;100;2.29171e+07;2.09856e+07;1;115.989;4.53288e+08
15;29986;S;0;282870;282870;1814.66;2.43934;100;2.80292e+07;2.06987e+07;1;114.418;4.47092e+08
16;51857;S;0;170236;170236;3432.46;24.3177;100;1.35943e+07;1.78188e+07;1;98.6375;3.84887e+08
17;16176;S;0;161355;161355;3476.79;5.69286;100;1.58673e+07;1.59537e+07;1;88.4173;3.44599e+08
18;31557;S;0;156185;156185;5000;16.0547;100;1.38131e+07;1.45958e+07;1;80.9772;3.1527e+08
19;18479;S;0;199727;199727;2256.8;13.2416;100;1.74577e+07;1.44294e+07;1;80.065;3.11674e+08
20;12549;S;0;160613;160613;4136.67;3.25688;100;1.60068e+07;1.29908e+07;1;72.1826;2.80602e+08
21;22240;S;0;148992;148992;5000;10.6704;100;1.38963e+07;1.26041e+07;1;70.0634;2.72248e+08
22;42045;S;0;130014;130014;4898.74;4.96835;100;1.30727e+07;1.2422e+07;1;69.0659;2.68316e+08
23;3038;S;0;152139;152139;1837.1;8.00081;100;1.45385e+07;1.16538e+07;1;64.8566;2.51723e+08
24;45312;S;0;182891;182891;3913.13;19.6801;100;1.52621e+07;1.15987e+07;1;64.5547;2.50533e+08
25;23215;S;0;148031;148031;4831.75;0;100;1.56407e+07;1.13447e+07;1;63.163;2.45046e+08
26;23042;S;0;136469;136469;3564.6;3.47098;100;1.359e+07;1.122e+07;1;62.4794;2.42352e+08
27;44695;S;0;127848;127848;3822.4;3.38516;100;1.27694e+07;1.09519e+07;1;61.0105;2.36561e+08
28;34672;S;0;181560;181560;3305.1;17.4184;100;1.53253e+07;1.07688e+07;1;60.0071;2.32606e+08
29;34569;S;0;145042;145042;1011.93;2.10771;100;1.45377e+07;1.05808e+07;1;58.9772;2.28546e+08
30;51345;S;0;153534;153534;5000;37.1165;100;1.02872e+07;9.76363e+06;1;54.4993;2.10894e+08
31;30685;E;0;661155;661155;297.321;6.21352;7.61318;982878;991070;2;7.94643;2.14071e+07
32;30360;E;0;520237;520237;2319.92;2.27873;11.548;6.03453e+06;5.16934e+06;3;49.3983;1.11658e+08
33;18;E;1120849;0;1120849;166.433;0;0.529574;932732;528606;3;6.32866;1.14179e+07
34;1263;E;0;637190;637190;1474.72;0.634556;7.19564;4.69839e+06;2.5324e+06;3;32.4945;5.46998e+07
35;30438;E;0;675481;675481;282.843;7.38482;8.42476;955274;589149;2;7.65685;1.27256e+07
36;15006;E;0;449425;449425;2590.98;9.98476;21.7719;5.82226e+06;3.28625e+06;1;52.8196;7.09829e+07
37;30336;E;0;307831;307831;1475.96;13.2219;19.978;2.27173e+06;1.96206e+06;3;32.5192;4.23805e+07
38;30421;E;0;760208;760208;806.598;7.4858;11.0605;3.06591e+06;971084;2;18.132;2.09754e+07
39;143;E;188273;0;188273;2704.76;0;11.9935;2.54616e+06;2.85804e+06;1;55.0951;6.17337e+07
40;1276;E;0;637190;637190;570.894;7.19564;9.68844;1.81884e+06;660928;2;13.4179;1.4276e+07
41;881;E;0;254258;254258;1814.66;26.5218;34.2255;2.29822e+06;1.65657e+06;1;37.2933;3.5782e+07
42;30184;E;0;248743;248743;2166.89;12.796;22.8402;2.69499e+06;1.96422e+06;2;45.3377;4.24272e+07
43;939;E;0;183118;183118;2703.99;0;12.019;2.47574e+06;2.37505e+06;1;55.0798;5.13012e+07
44;140;E;164058;0;164058;2618.19;0;11.7801;2.14767e+06;2.13799e+06;1;53.3637;4.61805e+07
45;29740;E;0;188608;188608;2047.58;0.0119552;9.01401;1.93095e+06;1.63994e+06;2;42.9516;3.54228e+07
46;51294;E;0;191362;191362;1388.66;49.7669;55.8713;1.32868e+06;1.12732e+06;2;29.7731;2.43501e+07
47;18682;E;0;172925;172925;5000;13.0873;33.4916;4.32313e+06;3.64256e+06;2;102;7.86794e+07
48;1099;E;0;230257;230257;810.247;7.65592;11.0606;932825;684341;3;19.2049;1.47818e+07
49;885;E;0;238745;238745;3225.72;21.9739;33.7833;3.85063e+06;2.36625e+06;2;66.5145;5.11111e+07
50;2651;E;0;140588;140588;3765.05;3.04437;19.2013;2.6466e+06;2.70197e+06;1;76.301;5.83625e+07
51;44166;E;0;177510;177510;830.06;3.04424;6.74503;736720;622160;1;17.6012;1.34386e+07
52;41233;E;0;123185;123185;2199.95;9.10589;18.8554;1.35501e+06;1.61778e+06;2;45.999;3.49439e+07
53;44048;E;0;254385;254385;776.209;64.7845;67.6673;833698;613910;2;17.5242;1.32605e+07
54;44943;E;0;158718;158718;3232.7;13.0017;27.1233;2.56544e+06;2.28822e+06;1;65.654;4.94256e+07
55;10802;E;0;135197;135197;2915.28;2.94249;16.1269;1.97069e+06;2.12103e+06;3;61.3057;4.58143e+07
56;4694;E;0;142116;142116;2907.32;22.8118;36.4112;2.06588e+06;2.08114e+06;3;61.1464;4.49526e+07
57;29991;E;0;238745;238745;2333.35;12.3656;21.9739;2.78537e+06;1.65083e+06;2;48.6669;3.56579e+07
58;30991;E;0;181914;181914;2833.19;14.2159;27.6419;2.57699e+06;1.98576e+06;2;58.6638;4.28924e+07
59;5035;E;0;135491;135491;5000;7.9854;28.6413;3.38728e+06;3.28366e+06;2;102;7.09271e+07
60;33608;E;0;205816;205816;2419.01;8.92666;19.218;2.48935e+06;1.58656e+06;1;49.3802;3.42696e+07
