k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;30685;E;0;661155;661155;297.321;9.03527;10.4349;982878;1.07377e+06;2;7.94643;2.31934e+07
2;1316;E;0;695614;695614;806.598;16.6788;20.3593;2.8054e+06;2.11864e+06;2;18.132;4.57627e+07
3;30360;E;0;520237;520237;2319.92;2.73872;12.0079;6.03453e+06;5.5055e+06;3;49.3983;1.18919e+08
4;1263;E;0;637190;637190;1474.72;0.667794;7.22888;4.69839e+06;3.147e+06;3;32.4945;6.79751e+07
5;1276;E;0;637190;637190;570.894;7.22888;9.72168;1.81884e+06;1.40676e+06;2;13.4179;3.03859e+07
6;195;E;464439;0;464439;5000;0;21.2054;1.1611e+07;9.27682e+06;2;102;2.00379e+08
7;30438;E;0;675481;675481;282.843;10.1292;11.1691;955274;621663;2;7.65685;1.34279e+07
8;15006;E;0;449425;449425;2590.98;8.50297;20.2901;5.82226e+06;3.83554e+06;1;52.8196;8.28477e+07
9;196;E;0;464439;464439;2965.43;21.2054;33.2168;6.88631e+06;4.249e+06;1;60.3086;9.17784e+07
10;44137;E;0;348969;348969;586.941;26.7614;29.3157;1.02412e+06;909237;1;12.7388;1.96395e+07
11;1581;E;0;458465;458465;3055.31;20.0387;33.0138;6.96702e+06;4.23634e+06;1;62.1063;9.15049e+07
12;29874;E;0;259944;259944;4452.88;15.2526;34.2119;5.78509e+06;5.52658e+06;1;90.0576;1.19374e+08
13;18;E;1120849;0;1120849;166.433;0;0.529574;932732;384558;3;6.32866;8.30644e+06
14;30336;E;0;307831;307831;1475.96;13.9993;20.7554;2.27173e+06;2.02651e+06;3;32.5192;4.37726e+07
15;47688;E;0;228987;228987;2256.8;25.3251;34.307;2.58389e+06;2.7026e+06;1;46.1361;5.83763e+07
16;47787;E;0;217261;217261;5000;40.1448;61.0657;5.21695e+06;5.93999e+06;2;102;1.28304e+08
17;15033;E;0;379330;379330;2590.98;27.1488;36.3489;4.91418e+06;3.03483e+06;1;52.8196;6.55523e+07
18;29986;E;0;282870;282870;1814.66;28.8609;36.4003;2.56482e+06;2.12589e+06;1;37.2933;4.59193e+07
19;29990;E;0;267926;267926;3225.72;58.6037;72.5699;4.31716e+06;3.92149e+06;2;66.5145;8.47042e+07
20;30991;E;0;181914;181914;2833.19;17.7123;31.1383;2.57699e+06;3.2812e+06;2;58.6638;7.08739e+07
21;30421;E;0;760208;760208;806.598;9.92427;13.4989;3.06591e+06;1.01052e+06;2;18.132;2.18273e+07
22;1333;E;0;614827;614827;282.843;20.3113;21.8319;869497;423633;2;7.65685;9.15046e+06
23;45281;E;0;186227;186227;3476.79;44.376;58.139;2.86954e+06;3.89834e+06;1;70.5359;8.42041e+07
24;18478;E;0;185046;185046;562.939;32.6586;35.214;520848;737505;2;13.2588;1.59301e+07
25;51371;E;0;186576;186576;4242.36;46.7762;61.3302;3.26033e+06;4.87385e+06;4;88.8471;1.05275e+08
26;29983;E;0;270584;270584;3655.49;36.34;51.1642;4.94108e+06;4.06509e+06;2;75.1098;8.7806e+07
27;33544;E;0;205816;205816;5000;53.7361;70.1791;4.08643e+06;5.41826e+06;1;101;1.17034e+08
28;881;E;0;254258;254258;1814.66;24.7863;32.2072;2.22632e+06;1.98046e+06;1;37.2933;4.2778e+07
29;18682;E;0;172925;172925;5000;25.7425;44.5123;4.04048e+06;5.39172e+06;2;102;1.16461e+08
30;143;E;188273;0;188273;2704.76;0;11.9935;2.54616e+06;2.85804e+06;1;55.0951;6.17337e+07
31;18479;E;0;199727;199727;2256.8;31.2252;40.8328;2.04856e+06;2.37723e+06;1;46.1361;5.13482e+07
32;4367;E;0;198478;198478;2760.65;48.7863;59.9802;2.49404e+06;2.77459e+06;0;55.213;5.99312e+07
33;47667;E;0;197997;197997;2861.98;32.9106;45.9259;2.81623e+06;2.94667e+06;2;59.2396;6.3648e+07
34;1288;E;0;637190;637190;1852.15;9.72168;16.6524;5.90087e+06;1.91853e+06;3;40.0431;4.14402e+07
35;1580;E;0;601471;601471;297.321;21.4915;22.692;894151;614746;2;7.94643;1.32785e+07
36;51539;E;0;186576;186576;4394.59;28.0397;46.7762;4.09962e+06;4.47387e+06;6;93.8917;9.66355e+07
37;45277;E;0;187757;187757;1955.1;55.6144;62.8018;1.53937e+06;1.94254e+06;2;41.1019;4.19588e+07
38;4503;E;0;178812;178812;2419.01;37.8232;47.1616;2.04013e+06;2.30343e+06;1;49.3802;4.97541e+07
39;22265;E;0;176908;176908;4242.36;36.1471;51.5752;3.4237e+06;4.12171e+06;4;88.8471;8.90289e+07
40;30322;E;0;271848;271848;2602.21;4.85015;15.3703;3.53702e+06;2.41523e+06;1;53.0441;5.2169e+07
41;12776;E;0;155140;155140;3347.89;3.32549;17.698;2.59696e+06;3.08829e+06;1;67.9579;6.67071e+07
42;51294;E;0;191362;191362;1388.66;37.2496;43.354;1.32868e+06;1.34888e+06;2;29.7731;2.91358e+07
43;4371;E;0;198478;198478;2471.52;59.9802;68.7498;2.00611e+06;2.27682e+06;1;50.4304;4.91793e+07
44;4239;E;0;136780;136780;5000;23.2482;43.4802;3.31927e+06;4.56105e+06;2;102;9.85186e+07
45;33480;E;0;201733;201733;3053.74;67.6405;76.1335;2.11649e+06;2.8037e+06;2;63.0747;6.056e+07
46;45304;E;0;182891;182891;2048.83;36.8642;45.1854;1.77621e+06;1.89524e+06;2;42.9766;4.09373e+07
47;33571;E;0;205816;205816;4165.11;41.1179;53.7361;3.5393e+06;3.72651e+06;2;85.3022;8.04926e+07
48;10802;E;0;135197;135197;2915.28;5.35038;18.5348;1.97069e+06;2.67706e+06;3;61.3057;5.78246e+07
49;16199;E;0;157218;157218;2048.83;32.9041;41.4893;1.61056e+06;1.86858e+06;2;42.9766;4.03613e+07
50;44943;E;0;158718;158718;3232.7;9.3373;23.4589;2.56544e+06;2.85438e+06;1;65.654;6.16545e+07
51;4694;E;0;142116;142116;2907.32;24.7552;37.9218;2.00438e+06;2.65146e+06;3;61.1464;5.72716e+07
52;939;E;0;183118;183118;2703.99;1.03547;13.0545;2.47574e+06;2.38726e+06;1;55.0798;5.15649e+07
53;50880;E;0;148031;148031;4234.87;10.2287;27.8421;3.13446e+06;3.74133e+06;2;86.6974;8.08128e+07
54;22267;E;0;176908;176908;4394.59;51.5752;67.3408;3.35679e+06;4.04456e+06;6;93.8917;8.73624e+07
55;16176;E;0;161355;161355;3476.79;19.9139;33.2675;2.80499e+06;3.02639e+06;1;70.5359;6.53701e+07
56;42029;E;0;128566;128566;2489.7;15.5829;26.8721;1.60045e+06;2.178e+06;1;50.794;4.70448e+07
57;51723;E;0;170236;170236;5000;38.6599;59.2029;4.2559e+06;4.44978e+06;4;104;9.61151e+07
58;31557;E;0;156185;156185;5000;30.3369;50.6358;3.8725e+06;4.13461e+06;1;101;8.93077e+07
59;31558;E;0;156185;156185;1047.05;25.6902;30.3369;817187;1.40552e+06;1;21.941;3.03592e+07
60;2331;E;0;156185;156185;1566.97;19.5099;25.6902;1.22362e+06;1.4137e+06;1;32.3394;3.05359e+07
61;12816;E;0;150176;150176;5000;13.4473;35.7937;3.7544e+06;4.11342e+06;1;101;8.88499e+07
62;41233;E;0;123185;123185;2199.95;15.7652;25.5147;1.35501e+06;1.86822e+06;2;45.999;4.03535e+07
63;18603;E;0;147044;147044;4572.76;46.7014;62.207;2.94692e+06;3.74349e+06;1;92.4552;8.08593e+07
