k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;4367;S;0;198478;198478;2760.65;101.465;235.618;2.68988e+07;2.24485e+07;0;123.006;4.84888e+08
2;33472;S;0;155209;155209;2760.65;60.1504;199.814;2.21038e+07;1.43998e+07;0;78.9029;3.11035e+08
3;37184;S;0;31288;31288;4444.44;39.932;184.735;4.62217e+06;1.84468e+06;0;10.1078;3.9845e+07
4;42770;S;0;32175;32175;4612.12;149.115;297.457;4.82625e+06;2.43622e+06;0;13.3491;5.26223e+07
5;14186;S;0;27195;27195;2702.06;153.299;288.749;3.77233e+06;2.11142e+06;0;11.5694;4.56066e+07
6;37126;S;0;20685;20685;3339.3;0.0379619;148.703;3.10275e+06;1.48297e+06;0;8.12589;3.20322e+07
7;8078;S;0;29518;29518;4444.44;7.20411;152.413;4.4277e+06;2.75329e+06;0;15.0865;5.94712e+07
8;35734;S;0;15259;15259;3645.23;21.9245;165.049;2.21322e+06;1.1053e+06;0;6.05641;2.38744e+07
9;43297;S;0;33333;33333;2702.06;0;149.097;4.99995e+06;445185;0;2.43937;9.61599e+06
10;6629;S;0;18453;18453;3645.23;0;147.295;2.76795e+06;1.40603e+06;0;7.70427;3.03702e+07
11;13663;S;0;26120;26120;4612.12;16.0252;159.609;3.88783e+06;1.23748e+06;0;6.7807;2.67295e+07
12;196;S;0;464439;464439;2965.43;0;147.184;6.96658e+07;3.47947e+07;1;191.656;7.51565e+08
13;29986;S;0;282870;282870;1814.66;0.699261;149.072;4.24025e+07;2.66897e+07;1;147.245;5.76498e+08
14;1581;S;0;458465;458465;3055.31;7.57754;154.653;6.84474e+07;2.64057e+07;1;145.689;5.70364e+08
15;47688;S;0;228987;228987;2256.8;36.3514;178.727;3.31293e+07;2.5186e+07;1;139.005;5.44017e+08
16;15033;S;0;379330;379330;2590.98;109.482;255.241;5.67154e+07;2.24348e+07;1;123.931;4.84593e+08
17;23212;S;0;148031;148031;2182.96;41.1694;181.592;2.10692e+07;2.20921e+07;1;122.053;4.77189e+08
18;16176;S;0;161355;161355;3476.79;49.4022;187.885;2.29952e+07;2.10166e+07;1;116.159;4.53958e+08
19;2331;S;0;156185;156185;1566.97;40.9424;188.572;2.3316e+07;1.95488e+07;1;108.117;4.22253e+08
20;18479;S;0;199727;199727;2256.8;127.85;244.917;2.3511e+07;1.83724e+07;1;101.671;3.96845e+08
21;312;S;76582;0;76582;3624.47;0;296.004;2.29746e+07;1.5934e+07;1;88.3096;3.44175e+08
22;5560;S;0;145042;145042;3305.1;73.1853;205.859;1.96807e+07;1.5547e+07;1;86.1891;3.35815e+08
23;359;S;94988;0;94988;5000;0;297.117;2.84964e+07;1.54539e+07;1;85.679;3.33805e+08
24;22752;S;0;168610;168610;3432.46;97.5437;226.622;2.22932e+07;1.53472e+07;1;85.0945;3.315e+08
25;12523;S;0;157697;157697;2254.28;105.101;213.375;1.73468e+07;1.51829e+07;1;84.194;3.27951e+08
26;51366;S;0;153534;153534;1492.77;136.782;239.302;1.58499e+07;1.3388e+07;1;74.3587;2.8918e+08
27;44695;S;0;127848;127848;3822.4;31.6446;172.246;1.8393e+07;1.31674e+07;1;73.1501;2.84416e+08
28;3038;S;0;152139;152139;1837.1;61.179;201.153;2.18373e+07;1.31627e+07;1;73.1241;2.84313e+08
29;143;S;188273;0;188273;2704.76;0;298.47;5.64819e+07;1.26147e+07;1;70.1215;2.72477e+08
30;23042;S;0;136469;136469;3564.6;65.3801;195.101;1.81196e+07;1.23498e+07;1;68.6702;2.66756e+08
31;296;S;101239;0;101239;2735.93;0;298.75;3.03717e+07;1.22013e+07;1;67.8563;2.63547e+08
32;45312;S;0;182891;182891;3913.13;69.7476;205.71;2.54387e+07;1.16846e+07;1;65.0253;2.52388e+08
33;7260;S;0;95831;95831;5000;65.9199;196.786;1.29845e+07;1.13516e+07;1;63.2007;2.45195e+08
34;41664;S;0;135934;135934;4136.67;68.4328;204.137;1.89258e+07;1.1246e+07;1;62.6219;2.42913e+08
35;34672;S;0;181560;181560;3305.1;98.1262;221.318;2.26986e+07;1.07422e+07;1;59.8616;2.32033e+08
36;51857;S;0;170236;170236;3432.46;77.7933;207.856;2.28518e+07;1.06219e+07;1;59.2019;2.29432e+08
37;22240;S;0;148992;148992;5000;56.1773;193.142;2.09936e+07;1.04207e+07;1;58.0999;2.25088e+08
38;153;S;68400;0;68400;5000;0;296.006;2.052e+07;1.0082e+07;1;56.2439;2.17771e+08
39;17429;S;0;112794;112794;720.069;5.27571;154.129;1.6881e+07;9.76532e+06;1;54.5086;2.10931e+08
40;4536;S;0;151351;151351;905.678;2.12839;151.161;2.26851e+07;9.42679e+06;1;52.6537;2.03619e+08
41;140;S;164058;0;164058;2618.19;0;298.689;4.92174e+07;9.31778e+06;1;52.0564;2.01264e+08
42;206;S;99689;0;99689;5000;0;294.509;2.99067e+07;9.14442e+06;1;51.1064;1.97519e+08
43;378;S;66240;0;66240;5000;0;294.72;1.9872e+07;9.08684e+06;1;50.7909;1.96276e+08
44;214;S;51678;0;51678;4293.31;0;294.385;1.55034e+07;8.81417e+06;1;49.2968;1.90386e+08
45;2641;S;0;141008;141008;3765.05;48.4764;195.555;2.11101e+07;8.30508e+06;1;46.5073;1.7939e+08
46;50283;S;0;73469;73469;2963.16;0;147.871;1.10204e+07;8.23591e+06;1;46.1283;1.77896e+08
47;1934;S;0;137093;137093;4742.04;0;145.348;2.0564e+07;7.99823e+06;1;44.8259;1.72762e+08
48;32109;S;0;152716;152716;3436.07;62.4095;209.311;2.29074e+07;7.79e+06;1;43.6849;1.68264e+08
49;54637;S;0;116653;116653;4326.74;40.8213;177.475;1.62953e+07;7.62343e+06;1;42.7722;1.64666e+08
50;34888;S;0;76124;76124;5000;3.88981;148.629;1.13845e+07;7.5634e+06;1;42.4433;1.63369e+08
51;15353;S;0;87008;87008;5000;0;142.302;1.30512e+07;7.50334e+06;1;42.1142;1.62072e+08
52;40938;S;0;83893;83893;2020.64;0.0292402;148.331;1.2584e+07;7.13933e+06;1;40.1196;1.5421e+08
53;18193;S;0;125017;125017;4707.67;104.126;235.392;1.70119e+07;7.12229e+06;1;40.0262;1.53841e+08
54;47919;S;0;110700;110700;3630.78;81.4346;222.949;1.59418e+07;6.81103e+06;1;38.3207;1.47118e+08
55;35828;S;0;92138;92138;4724.14;5.61234;152.465;1.38207e+07;6.70758e+06;1;37.7539;1.44884e+08
56;151;S;78223;0;78223;1301.38;0;298.866;2.34669e+07;6.28572e+06;1;35.4423;1.35772e+08
57;2651;S;0;140588;140588;3765.05;41.6573;183.503;2.0317e+07;6.10505e+06;1;34.4523;1.31869e+08
58;83;S;56923;0;56923;3314.03;0;297.377;1.70769e+07;6.10296e+06;1;34.4409;1.31824e+08
59;18803;S;0;99093;99093;3630.78;36.7908;179.994;1.4442e+07;5.85164e+06;1;33.0638;1.26395e+08
60;15061;S;0;153976;153976;830.06;132.155;279.59;2.27976e+07;5.81791e+06;1;32.8789;1.25667e+08
