k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;4367;S;0;198478;198478;2760.65;205.773;285.487;1.60938e+07;2.24485e+07;0;123.006;4.84888e+08
2;33472;S;0;155209;155209;2760.65;158.933;265.075;1.6901e+07;1.43998e+07;0;78.9029;3.11035e+08
3;37184;S;0;31288;31288;4444.44;175.969;257.187;2.63272e+06;1.84468e+06;0;10.1078;3.9845e+07
4;42770;S;0;32175;32175;4612.12;205.581;298.186;3.03291e+06;2.43622e+06;0;13.3491;5.26223e+07
5;14186;S;0;27195;27195;2702.06;206.951;291.468;2.38722e+06;2.11142e+06;0;11.5694;4.56066e+07
6;37126;S;0;20685;20685;3339.3;3.67282;151.33;3.08191e+06;1.48297e+06;0;8.12589;3.20322e+07
7;8078;S;0;29518;29518;4444.44;107.965;237.503;3.96513e+06;2.75329e+06;0;15.0865;5.94712e+07
8;35734;S;0;15259;15259;3645.23;103.448;221.048;1.82373e+06;1.1053e+06;0;6.05641;2.38744e+07
9;43297;S;0;33333;33333;2702.06;86.4942;203.601;3.93363e+06;445185;0;2.43937;9.61599e+06
10;6629;S;0;18453;18453;3645.23;91.6345;227.588;2.55866e+06;1.40603e+06;0;7.70427;3.03702e+07
11;13663;S;0;26120;26120;4612.12;90.7745;215.468;3.39444e+06;1.23748e+06;0;6.7807;2.67295e+07
12;196;S;0;464439;464439;2965.43;296.205;300;3.07009e+06;3.47947e+07;1;191.656;7.51565e+08
13;29986;S;0;282870;282870;1814.66;241.04;289.654;1.41837e+07;2.66897e+07;1;147.245;5.76498e+08
14;1581;S;0;458465;458465;3055.31;227.17;268.918;2.01585e+07;2.64057e+07;1;145.689;5.70364e+08
15;47688;S;0;228987;228987;2256.8;205.937;277.419;1.68955e+07;2.5186e+07;1;139.005;5.44017e+08
16;15033;S;0;379330;379330;2590.98;246.286;281.987;1.49668e+07;2.24348e+07;1;123.931;4.84593e+08
17;23212;S;0;148031;148031;2182.96;229.534;287.987;8.93501e+06;2.20921e+07;1;122.053;4.77189e+08
18;16176;S;0;161355;161355;3476.79;135.645;249.725;1.90577e+07;2.10166e+07;1;116.159;4.53958e+08
