k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
147;276;S;71174;0;71174;5000;0;153.648;1.06761e+07;4.83448e+06;2;28.4903;1.04425e+08
148;212;S;0;55644;55644;3830.18;0;73.982;4.1733e+06;2.37644e+06;1;14.0216;5.13311e+07
149;156;S;40554;0;40554;5000;0;146.116;6.0831e+06;2.36914e+06;1;13.9816;5.11734e+07
150;2254;S;0;111900;111900;3842.28;157.805;222.174;7.57929e+06;2.35068e+06;1;13.8805;5.07747e+07
151;17479;S;0;74445;74445;4674.06;65.4336;136.413;5.58307e+06;2.32424e+06;1;13.7356;5.02036e+07
152;21179;S;0;65152;65152;1641.21;77.7687;149.683;4.81085e+06;2.32099e+06;1;13.7178;5.01335e+07
153;244;S;87474;0;87474;4327.26;0;147.534;1.31211e+07;4.6123e+06;2;27.2729;9.96256e+07
154;23975;S;0;101982;101982;4959.05;106.448;171.256;7.00713e+06;2.26513e+06;1;13.4117;4.89267e+07
155;267;S;32680;0;32680;4026.18;0;147.952;4.902e+06;2.26479e+06;1;13.4098;4.89194e+07
156;88;S;28339;0;28339;2794.75;0;148.582;4.25085e+06;2.24116e+06;1;13.2803;4.84091e+07
157;15353;S;0;87008;87008;5000;0;67.3019;6.5256e+06;2.20867e+06;1;13.1023;4.77074e+07
158;6135;S;0;59704;59704;4982.66;14.3061;84.7102;4.4778e+06;2.20544e+06;1;13.0846;4.76376e+07
159;30688;S;0;520624;520624;3055.31;58.3264;125.626;3.60789e+07;2.20097e+06;1;13.0601;4.7541e+07
160;57644;S;0;48076;48076;4910.52;102.41;175.475;3.6057e+06;2.19815e+06;1;13.0447;4.748e+07
161;73;S;28605;0;28605;5000;0;146.37;4.29075e+06;2.18196e+06;1;12.9559;4.71303e+07
162;45593;S;0;77540;77540;3340.91;110.788;180.517;5.65398e+06;2.15033e+06;1;12.7826;4.64471e+07
163;47505;S;0;36399;36399;4158.52;40.4225;113.105;2.72499e+06;2.13362e+06;1;12.6911;4.60862e+07
164;5571;S;0;84398;84398;4111.67;150.859;214.679;5.57504e+06;2.12367e+06;1;12.6366;4.58713e+07
165;3422;S;0;64867;64867;2606.09;118.366;189.293;4.74835e+06;2.06975e+06;1;12.3411;4.47066e+07
166;258;S;93628;0;93628;3894.01;0;147.098;1.40442e+07;4.10007e+06;2;24.4661;8.85615e+07
167;7233;S;0;52163;52163;2106.78;21.9714;93.5158;3.89375e+06;2.03349e+06;1;12.1424;4.39233e+07
168;36881;S;0;50160;50160;3155.51;18.3029;92.4666;3.762e+06;2.03249e+06;1;12.1369;4.39017e+07
169;51839;S;0;31760;31760;4843.89;84.259;152.853;2.382e+06;2.02792e+06;1;12.1119;4.38031e+07
