k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;30685;E;0;661155;661155;297.321;14.8642;16.2639;982878;1.07377e+06;2;7.94643;2.31934e+07
2;1316;E;0;695614;695614;806.598;17.5061;21.1866;2.8054e+06;2.11864e+06;2;18.132;4.57627e+07
3;30360;E;0;520237;520237;2319.92;3.74155;12.8829;5.96803e+06;5.5055e+06;3;49.3983;1.18919e+08
4;1263;E;0;637190;637190;1474.72;0.667794;7.22888;4.69839e+06;3.147e+06;3;32.4945;6.79751e+07
5;1276;E;0;637190;637190;570.894;7.22888;9.72168;1.81884e+06;1.40676e+06;2;13.4179;3.03859e+07
6;195;E;464439;0;464439;5000;0;21.2054;1.1611e+07;9.27682e+06;2;102;2.00379e+08
7;30438;E;0;675481;675481;282.843;15.8002;16.8402;955274;621663;2;7.65685;1.34279e+07
8;15006;E;0;449425;449425;2590.98;27.9281;39.2935;5.63274e+06;3.83554e+06;1;52.8196;8.28477e+07
9;196;E;0;464439;464439;2965.43;21.2054;33.2168;6.88631e+06;4.249e+06;1;60.3086;9.17784e+07
10;44137;E;0;348969;348969;586.941;27.5118;30.0661;1.02412e+06;909237;1;12.7388;1.96395e+07
11;1581;E;0;458465;458465;3055.31;20.609;33.5734;6.96211e+06;4.23634e+06;1;62.1063;9.15049e+07
12;29874;E;0;259944;259944;4452.88;15.7863;34.7281;5.78056e+06;5.52658e+06;1;90.0576;1.19374e+08
13;18;E;1120849;0;1120849;166.433;0;0.529574;932732;384558;3;6.32866;8.30644e+06
14;30336;E;0;307831;307831;1475.96;15.478;22.0642;2.21943e+06;2.02651e+06;3;32.5192;4.37726e+07
15;47688;E;0;228987;228987;2256.8;40.0339;47.8997;2.32831e+06;2.7026e+06;1;46.1361;5.83763e+07
16;47787;E;0;217261;217261;5000;48.8018;67.7662;4.79189e+06;5.93999e+06;2;102;1.28304e+08
17;15033;E;0;379330;379330;2590.98;28.9202;38.1003;4.90659e+06;3.03483e+06;1;52.8196;6.55523e+07
18;29986;E;0;282870;282870;1814.66;29.3354;36.8729;2.56431e+06;2.12589e+06;1;37.2933;4.59193e+07
19;29990;E;0;267926;267926;3225.72;58.9476;72.8011;4.28696e+06;3.92149e+06;2;66.5145;8.47042e+07
20;30991;E;0;181914;181914;2833.19;30.3033;41.9994;2.26228e+06;3.2812e+06;2;58.6638;7.08739e+07
21;30421;E;0;760208;760208;806.598;14.9714;18.3537;2.91968e+06;1.01052e+06;2;18.132;2.18273e+07
22;1333;E;0;614827;614827;282.843;21.0551;22.5757;869497;423633;2;7.65685;9.15046e+06
23;45281;E;0;186227;186227;3476.79;55.7385;67.1662;2.43464e+06;3.89834e+06;1;70.5359;8.42041e+07
24;18478;E;0;185046;185046;562.939;45.8755;48.1222;463731;737505;2;13.2588;1.59301e+07
25;51371;E;0;186576;186576;4242.36;57.4073;68.7886;2.66839e+06;4.87385e+06;4;88.8471;1.05275e+08
26;29983;E;0;270584;270584;3655.49;36.7407;51.5515;4.93744e+06;4.06509e+06;2;75.1098;8.7806e+07
27;33544;E;0;205816;205816;5000;59.3727;75.6904;4.06064e+06;5.41826e+06;1;101;1.17034e+08
28;881;E;0;254258;254258;1814.66;36.3812;43.5688;2.16699e+06;1.98046e+06;1;37.2933;4.2778e+07
29;18682;E;0;172925;172925;5000;33.2966;50.8413;3.82863e+06;5.39172e+06;2;102;1.16461e+08
30;143;E;188273;0;188273;2704.76;0;11.9935;2.54616e+06;2.85804e+06;1;55.0951;6.17337e+07
31;18479;E;0;199727;199727;2256.8;35.3172;44.603;1.98428e+06;2.37723e+06;1;46.1361;5.13482e+07
32;4367;E;0;198478;198478;2760.65;53.2041;64.3968;2.49379e+06;2.77459e+06;0;55.213;5.99312e+07
33;47667;E;0;197997;197997;2861.98;45.1244;56.5806;2.50752e+06;2.94667e+06;2;59.2396;6.3648e+07
34;1288;E;0;637190;637190;1852.15;9.72168;16.6524;5.90087e+06;1.91853e+06;3;40.0431;4.14402e+07
35;1580;E;0;601471;601471;297.321;22.2049;23.4054;894151;614746;2;7.94643;1.32785e+07
36;51539;E;0;186576;186576;4394.59;40.8251;57.4073;3.69768e+06;4.47387e+06;6;93.8917;9.66355e+07
37;45277;E;0;187757;187757;1955.1;64.2971;70.174;1.29333e+06;1.94254e+06;2;41.1019;4.19588e+07
38;4503;E;0;178812;178812;2419.01;39.3096;48.1291;1.94733e+06;2.30343e+06;1;49.3802;4.97541e+07
39;22265;E;0;176908;176908;4242.36;44.5384;57.4995;2.98725e+06;4.12171e+06;4;88.8471;8.90289e+07
40;30322;E;0;271848;271848;2602.21;5.57921;16.0878;3.53386e+06;2.41523e+06;1;53.0441;5.2169e+07
41;12776;E;0;155140;155140;3347.89;27.5964;41.9689;2.59696e+06;3.08829e+06;1;67.9579;6.67071e+07
42;51294;E;0;191362;191362;1388.66;47.0364;53.1407;1.32868e+06;1.34888e+06;2;29.7731;2.91358e+07
43;4371;E;0;198478;198478;2471.52;64.3968;72.1822;1.81077e+06;2.27682e+06;1;50.4304;4.91793e+07
44;4239;E;0;136780;136780;5000;29.867;48.2;3.05953e+06;4.56105e+06;2;102;9.85186e+07
45;33480;E;0;201733;201733;3053.74;71.0176;77.293;1.66914e+06;2.8037e+06;2;63.0747;6.056e+07
46;45304;E;0;182891;182891;2048.83;49.7724;56.7552;1.53141e+06;1.89524e+06;2;42.9766;4.09373e+07
47;33571;E;0;205816;205816;4165.11;47.0153;59.3727;3.48562e+06;3.72651e+06;2;85.3022;8.04926e+07
48;10802;E;0;135197;135197;2915.28;11.1435;24.328;1.97069e+06;2.67706e+06;3;61.3057;5.78246e+07
49;16199;E;0;157218;157218;2048.83;39.2877;47.2417;1.51134e+06;1.86858e+06;2;42.9766;4.03613e+07
50;44943;E;0;158718;158718;3232.7;17.1538;31.2754;2.56543e+06;2.85438e+06;1;65.654;6.16545e+07
51;4694;E;0;142116;142116;2907.32;27.76;40.7722;1.98243e+06;2.65146e+06;3;61.1464;5.72716e+07
52;939;E;0;183118;183118;2703.99;1.03547;13.0545;2.47574e+06;2.38726e+06;1;55.0798;5.15649e+07
53;50880;E;0;148031;148031;4234.87;35.9711;51.7403;2.86146e+06;3.74133e+06;2;86.6974;8.08128e+07
54;22267;E;0;176908;176908;4394.59;57.4995;71.0342;2.96213e+06;4.04456e+06;6;93.8917;8.73624e+07
55;16176;E;0;161355;161355;3476.79;26.7497;39.6831;2.73719e+06;3.02639e+06;1;70.5359;6.53701e+07
56;42029;E;0;128566;128566;2489.7;27.6126;38.3079;1.5241e+06;2.178e+06;1;50.794;4.70448e+07
57;51723;E;0;170236;170236;5000;54.9274;66.6081;2.74721e+06;4.44978e+06;4;104;9.61151e+07
58;31557;E;0;156185;156185;5000;42.147;59.7065;3.44465e+06;4.13461e+06;1;101;8.93077e+07
59;31558;E;0;156185;156185;1047.05;37.8746;42.147;758732;1.40552e+06;1;21.941;3.03592e+07
60;2331;E;0;156185;156185;1566.97;32.2294;37.8746;1.14005e+06;1.4137e+06;1;32.3394;3.05359e+07
61;12816;E;0;150176;150176;5000;35.6471;57.9935;3.7544e+06;4.11342e+06;1;101;8.88499e+07
62;41233;E;0;123185;123185;2199.95;32.6238;41.1248;1.20119e+06;1.86822e+06;2;45.999;4.03535e+07
63;18603;E;0;147044;147044;4572.76;50.3239;64.742;2.78703e+06;3.74349e+06;1;92.4552;8.08593e+07
64;140;E;164058;0;164058;2618.19;0;11.7801;2.14767e+06;2.13799e+06;1;53.3637;4.61805e+07
65;12590;E;0;155140;155140;1804.56;30.6015;38.8733;1.3998e+06;1.51726e+06;2;38.0913;3.27728e+07
66;2453;E;0;173810;173810;1047.05;33.8017;38.1039;909938;871665;1;21.941;1.8828e+07
67;29991;E;0;238745;238745;2333.35;15.8463;24.9544;2.66594e+06;1.93333e+06;2;48.6669;4.17599e+07
68;44166;E;0;177510;177510;830.06;17.2126;20.8224;720564;696487;1;17.6012;1.50441e+07
69;871;E;0;270584;270584;1863.87;51.5515;59.3329;2.51282e+06;1.55012e+06;2;39.2773;3.34826e+07
70;22618;E;0;168610;168610;5000;55.4625;69.4861;3.02773e+06;4.0771e+06;4;104;8.80655e+07
71;4368;E;0;165935;165935;5000;25.2467;43.4022;3.82662e+06;3.97978e+06;2;102;8.59633e+07
72;2641;E;0;141008;141008;3765.05;35.7167;51.3427;2.57424e+06;2.92082e+06;1;76.301;6.30897e+07
73;18159;E;0;125017;125017;4945.2;41.2437;58.5284;2.66422e+06;3.89515e+06;3;101.904;8.41351e+07
74;29740;E;0;188608;188608;2047.58;6.209;15.2111;1.93095e+06;1.63328e+06;2;42.9516;3.52789e+07
75;1058;E;0;222114;222114;3869.19;29.2879;44.8905;4.23329e+06;2.96936e+06;1;78.3838;6.41382e+07
76;41664;E;0;135934;135934;4136.67;41.2518;54.8208;2.32354e+06;3.12773e+06;1;83.7334;6.7559e+07
77;47581;E;0;172741;172741;988.537;43.6119;47.4315;773856;774837;1;20.7707;1.67365e+07
78;22181;E;0;174135;174135;1388.66;36.5558;40.5866;967914;1.09745e+06;2;29.7731;2.37048e+07
79;885;E;0;238745;238745;3225.72;24.9544;35.7016;3.59703e+06;2.42167e+06;2;66.5145;5.23082e+07
80;2651;E;0;140588;140588;3765.05;11.9718;28.0604;2.63701e+06;2.77232e+06;1;76.301;5.98821e+07
81;44695;E;0;127848;127848;3822.4;22.8159;38.6629;2.44343e+06;2.77255e+06;1;77.448;5.98871e+07
82;16172;E;0;162072;162072;1955.1;20.535;28.5407;1.56873e+06;1.4449e+06;2;41.1019;3.12099e+07
83;16147;E;0;128666;128666;3173.93;19.8444;33.2011;2.0232e+06;2.4059e+06;3;66.4786;5.19674e+07
84;45312;E;0;182891;182891;3913.13;35.41;49.7724;3.19907e+06;2.77278e+06;1;79.2626;5.9892e+07
85;38;E;139926;0;139926;2715.88;0;12.221;1.90011e+06;1.92491e+06;1;55.3176;4.1578e+07
